name,location,price,review_score,review_count,amenities
Villa des Hauts Mogador,Essaouira,"MAD 1,499",Scored 9.6,189 reviews,
Riad 7 Pierres,"Old Medina, Essaouira",MAD 379,Scored 8.8,920 reviews,
Mama Souiri Hotel,"Kasbah, Essaouira",MAD 426,Scored 7.9,"2,097 reviews",
Hotel Vents Des Iles,Essaouira,MAD 473,Scored 8.6,974 reviews,
Riad Dar Latigeo,"Old Medina, Essaouira",MAD 265,Scored 8.3,475 reviews,
Yousurf Surf House,Essaouira,MAD 947,Scored 8.1,363 reviews,
Tweets Hotel,Essaouira,MAD 452,Scored 8.4,471 reviews,
Hôtel Mechouar Plaza,"Kasbah, Essaouira",MAD 641,Scored 8.1,"1,213 reviews",
Hotel majestc,"Old Medina, Essaouira",MAD 189,Scored 7.8,33 reviews,
Riad Eucalyptus,Essaouira,MAD 842,Scored 8.9,356 reviews,
RIAD Tamazouzt,"Mellah, Essaouira",MAD 316,Scored 8.3,218 reviews,
"Appart, Hotel & Café Agadir","Ahl Agadir, Essaouira",MAD 400,Scored 8.6,"1,166 reviews",
Suite Azur Hotel,"Old Medina, Essaouira","MAD 1,578",Scored 9.0,913 reviews,
Dar Adul,"Old Medina, Essaouira",MAD 842,Scored 8.8,613 reviews,
Riad Raoud Rayhane,"Old Medina, Essaouira",MAD 842,Scored 8.9,513 reviews,
Villa Des Arganiers,Essaouira,"MAD 1,893",Scored 9.9,9 reviews,
Ali Baba Infinity,Essaouira,"MAD 2,641",Scored 9.6,64 reviews,
White And Blue,"Old Medina, Essaouira",MAD 263,Scored 8.2,689 reviews,
Hôtel La Perle de Mogador,Essaouira,MAD 800,Scored 7.2,777 reviews,
Riad Zahra,"Essaouira Coast, Essaouira",MAD 663,Scored 8.7,"1,278 reviews",
WELKAM Home & Coworking,Essaouira,MAD 221,Scored 9.6,605 reviews,
Dar sirin,Essaouira,MAD 421,Scored 8.9,28 reviews,
Hotel Cote ocean Mogador,"Essaouira Coast, Essaouira","MAD 1,578",Scored 8.5,"1,527 reviews",
ArtHouse Cinema Hotel,"Old Medina, Essaouira",MAD 879,Scored 8.8,371 reviews,
MOjA HOUSE,Essaouira,MAD 715,Scored 8.9,94 reviews,
RIAD LES DEUX MONDES,Essaouira,MAD 631,Scored 8.3,286 reviews,
